MeterNO	Name	Phone	Address	Units	Amount
1	masood	895123	bly	500	950
2	neha	678647	bly	780	1650

78	huzair	9060786066	bly	345	562
99	hi	78678686	bly	456	840
69	masood	8951233786	bly	456	840
70	hello	7896789		bly	678	1395
34	owais	8951233786	bly	345	562
9	aweaz	8951233786	bkly	780	1650
66	huzair	9060786066	banglore	678	1395
100	yash	9448678601	bly	789	1672
69	Neeraj	8951233786	Bilahi	900	1950
45	masood	8951233786	bly	786	1665
45	masood	8951233786	bly	786	1665
34	vishal	9448678600	bly	567	1117
90	bandi	895123456	bly	456	840
23	we	67568	bly	45	45
9	aweaz	8951233786	blky	780	1650
56	ronny	786544336	bihar	789	1672
9	aweaz	8951233786	blky	780	1650
9	aweaz	8951233786	blky	780	1650
9	aweaz	8951233786	blky	780	1650
7	aweaz	897162736	bly	800	1700
9	aweaz	8951235675	bly	780	1650
